word	preserving	td	blackout	albeit	plagiarism	mote	dildo	stricter	improvised	swagger	lexical	borrowers	flu	oath	curled	mafia	beden	overwhelm	aes	embodiment	beverage	nonatomic	finns	tasty	tumult	interpol	vitae	vrouw	wealthiest	undergrad	peanuts	resizing	unconditional	culprit	albums	righteous	autos	carr	pict	reachable	intimately	kultur	defy	edt	poil	handful	intends	soar	certifications	wyn	crappy	potassium	flaming	oblasti	obe	subtitle	phoenix	noop	fabs	hoses	grinder	stap	standby	a
lexical	0.010420	0.018498	0.008837	0.010411	0.018846	0.005908	0.001606	0.015561	0.020884	0.008505	1.000000	-0.011404	0.021509	0.008005	0.014777	0.004842	-0.003527	0.001264	0.019241	0.001499	0.025885	0.017875	0.014268	0.031273	-0.009070	0.034004	0.023742	-0.019140	0.023135	-0.014004	0.029226	0.016344	0.003763	0.026190	0.035581	0.039157	0.015386	0.021594	0.034086	0.039546	0.016249	0.025084	0.004698	0.000546	0.007856	0.014387	0.023767	-0.005858	0.026917	0.006447	0.029065	0.031154	0.035218	-0.002855	0.023785	0.022363	0.004645	0.004734	0.029868	0.038995	-0.001342	0.000544	0.026218	0.025725
borrowers	0.004674	0.020936	0.017090	-0.001333	0.013571	-0.031576	-0.002504	0.016881	-0.014600	-0.015018	-0.011404	1.000000	0.012194	0.019540	-0.004336	0.011787	0.016486	0.029375	0.030708	0.014759	0.027255	0.012980	0.006964	-0.017141	0.023617	0.024981	0.018910	0.010613	0.000574	0.032816	0.005590	0.028671	0.027979	0.024591	0.020337	0.009376	0.014649	0.028576	-0.014712	-0.024930	0.024559	0.008942	0.007956	0.021156	0.007278	0.033408	0.007775	0.028606	0.007892	0.016061	-0.014437	0.010784	-0.005211	-0.003662	0.004989	0.012002	0.023276	-0.006212	0.021731	0.013730	0.015748	-0.011146	0.033739	0.016377
flu	0.021371	0.020226	0.018962	-0.001767	0.018110	0.002317	-0.011347	0.011432	0.004141	0.004172	0.021509	0.012194	1.000000	-0.002842	-0.003190	0.024241	-0.002340	-0.004104	0.022978	0.010697	0.029115	-0.022231	0.015374	0.033411	0.005889	0.012896	0.008996	-0.002204	-0.021930	0.028609	0.036088	0.011242	0.006352	0.031851	0.014099	0.010698	0.033756	0.039281	0.024671	0.020707	-0.019952	0.005703	0.027654	0.021193	0.010782	0.022627	0.040126	0.029287	0.025313	0.008648	-0.005184	0.024152	0.038477	-0.011250	0.024797	0.011623	0.007503	-0.002928	0.025643	0.002545	0.032665	0.029016	0.024417	0.045959
oath	0.021346	0.010933	0.022300	0.005209	0.010908	-0.001536	0.011372	-0.014126	-0.005548	0.019463	0.008005	0.019540	-0.002842	1.000000	0.025543	0.014527	-0.002267	0.018242	0.023670	-0.004143	0.021370	-0.008393	0.011897	0.022487	0.022290	0.008293	0.008726	0.036639	0.031001	0.011715	0.009730	-0.001018	0.027567	0.020550	-0.000616	0.031364	-0.013816	0.009000	0.020873	-0.003515	0.033008	0.006495	0.030882	-0.011646	0.024733	0.027332	0.008865	0.032481	0.034236	0.003855	0.002149	0.014195	0.044364	0.015085	0.040881	0.003775	0.044570	0.014465	-0.001347	0.042862	0.013164	0.023838	0.021321	0.030130
curled	0.010608	-0.005729	0.016150	0.026254	-0.006446	0.010253	0.017298	0.015211	0.008626	-0.003906	0.014777	-0.004336	-0.003190	0.025543	1.000000	0.023777	0.017745	0.027527	-0.010507	0.008647	0.022707	0.027585	-0.004367	0.023356	0.031607	0.022002	-0.005549	0.026591	-0.014187	0.026961	0.010044	0.005589	0.024684	0.007835	0.037403	0.031649	0.017930	0.040011	-0.004956	0.013328	0.027122	0.002407	0.035115	0.012476	0.028177	0.005267	0.036776	0.025207	0.032739	-0.005522	0.024020	0.037484	0.022838	0.015552	0.028828	0.014019	0.016130	-0.003709	-0.019719	0.024060	0.025047	0.007952	0.014916	0.036322
mafia	-0.008340	-0.008450	0.025588	0.008096	0.027116	0.010190	0.028860	0.002686	0.026843	0.027706	0.004842	0.011787	0.024241	0.014527	0.023777	1.000000	0.017650	0.004628	0.018045	0.021582	0.020155	0.027948	0.023690	0.004309	0.010328	-0.014225	0.026266	0.020847	0.015509	0.010545	0.024631	0.027610	0.013427	0.035321	0.038110	0.030353	0.028274	0.016807	0.022809	0.009910	-0.022911	0.037050	0.015250	0.010706	-0.004116	0.019807	0.004865	-0.021806	-0.003078	0.011650	0.035397	0.027555	0.021980	0.030674	-0.008483	0.023064	0.021836	-0.000191	0.040365	0.014805	-0.000898	0.024520	-0.005468	-0.005418
beden	0.009435	0.013548	0.024961	0.019968	0.023826	0.028916	0.012608	0.023838	0.022109	0.013942	-0.003527	0.016486	-0.002340	-0.002267	0.017745	0.017650	1.000000	0.026321	0.003316	0.022215	0.020528	-0.003807	0.026147	0.011515	0.022186	0.006283	0.020347	0.005327	0.023313	0.008094	0.030759	0.027753	-0.006925	-0.004593	0.004755	0.009513	-0.019931	0.017208	0.014364	0.024453	0.011704	0.015823	0.041877	0.024787	0.027973	0.013843	0.035929	0.017569	-0.016582	0.030647	0.008084	-0.012806	-0.004845	0.017102	0.043859	0.016108	0.042053	-0.003684	0.024109	0.014118	0.017858	0.019197	0.012989	0.000974
overwhelm	0.019482	0.014062	0.028578	0.025048	0.003945	0.011009	-0.005578	-0.013109	0.023251	0.020021	0.001264	0.029375	-0.004104	0.018242	0.027527	0.004628	0.026321	1.000000	0.003904	0.016190	0.006931	0.025899	0.026488	0.013464	0.019763	0.000966	0.002268	0.030219	0.000461	0.008889	-0.009164	0.000962	-0.010568	0.025370	0.030769	0.008127	0.002925	0.025577	0.015596	0.016109	0.026912	-0.001129	0.029989	0.015354	0.020563	0.023004	0.023760	0.011601	0.041413	0.022486	0.017708	0.011460	-0.007241	0.023238	0.044439	0.001329	0.009188	0.031191	-0.000811	0.020804	0.012521	0.018050	0.036872	0.005371
aes	0.004444	0.030315	-0.021393	0.019893	0.012032	0.027715	0.000232	0.011528	0.008614	0.015565	0.019241	0.030708	0.022978	0.023670	-0.010507	0.018045	0.003316	0.003904	1.000000	0.011913	-0.008077	-0.009817	0.028066	0.019020	0.006391	0.011331	0.035968	0.031050	0.012691	0.015578	0.004996	0.024789	0.031841	0.000284	0.027920	0.011342	0.034711	0.029944	0.037958	0.014707	0.025752	0.017711	0.006282	0.033322	0.020868	0.004802	0.006894	0.033413	0.023031	0.012780	-0.015327	0.023873	0.024366	0.039382	0.011223	0.010910	0.033776	0.045415	0.025659	0.012036	-0.015800	0.038617	0.007252	0.038134
embodiment	0.031123	0.008130	0.011191	0.024962	0.018545	0.004896	0.028738	0.029212	0.027184	0.005698	0.001499	0.014759	0.010697	-0.004143	0.008647	0.021582	0.022215	0.016190	0.011913	1.000000	0.003401	0.025271	0.012385	0.022398	0.007970	0.023605	0.015261	0.025571	0.016135	0.019159	-0.003279	0.035638	0.007463	0.033035	0.028398	0.016881	0.034903	0.018755	-0.013409	0.017004	0.012045	-0.033125	0.030437	0.038101	-0.012281	0.041298	0.020189	0.006097	0.043308	0.003886	0.015669	0.031456	0.016245	0.001558	0.009378	0.040270	0.016690	0.005917	0.033768	0.004083	0.027537	-0.011633	0.042693	0.027095
beverage	0.030552	0.016381	0.022208	0.031355	0.005525	0.017104	0.028177	0.014809	0.016669	0.025392	0.025885	0.027255	0.029115	0.021370	0.022707	0.020155	0.020528	0.006931	-0.008077	0.003401	1.000000	-0.021725	0.013776	0.029450	0.002924	0.011384	0.010845	0.006271	0.036168	0.011296	0.035019	0.031982	-0.004249	0.028719	0.037273	-0.004620	0.003842	0.023972	0.010107	0.038496	0.028239	0.030585	0.002748	0.006108	0.002020	0.019899	0.029641	0.008834	0.022556	0.040802	0.031198	0.036898	0.001517	0.004651	0.034176	0.044474	0.017349	0.019009	-0.002490	0.023922	0.043903	0.014329	0.031263	0.029892
nonatomic	0.003020	0.009264	0.009339	0.025528	0.029104	-0.007440	0.031765	-0.000561	-0.009358	0.010140	0.017875	0.012980	-0.022231	-0.008393	0.027585	0.027948	-0.003807	0.025899	-0.009817	0.025271	-0.021725	1.000000	-0.002984	0.006406	0.015141	-0.010443	0.013529	-0.000009	0.020621	0.023221	0.004333	0.028618	0.022439	0.018017	0.005418	0.001000	0.014408	-0.012103	0.030753	0.028588	0.004066	0.010228	0.009925	-0.005380	0.016191	0.009202	0.019365	0.004538	0.018907	0.005669	0.022542	0.043490	-0.001639	-0.001819	0.006046	0.035334	0.029240	0.022243	0.020406	0.029481	0.034287	0.001107	0.010248	0.009501
finns	-0.003049	-0.022744	-0.000599	0.024237	0.022202	0.008541	0.028759	0.032494	0.015270	0.005352	0.014268	0.006964	0.015374	0.011897	-0.004367	0.023690	0.026147	0.026488	0.028066	0.012385	0.013776	-0.002984	1.000000	0.004927	0.024720	0.018412	0.025969	0.033578	0.014429	0.020029	0.034101	0.024587	0.008817	0.034050	0.022621	0.015176	0.035217	0.011627	0.005284	0.016444	0.034796	0.031248	0.028981	0.002724	0.021588	0.030963	0.029005	0.017167	0.023540	0.027182	0.033368	-0.002810	0.026632	0.019171	0.037249	0.001225	0.031404	0.025718	0.040089	0.024270	0.022219	0.020787	-0.010274	-0.010779
tasty	0.017835	0.018983	0.002641	0.004117	0.012288	0.005591	-0.002543	0.020988	0.031793	0.006831	0.031273	-0.017141	0.033411	0.022487	0.023356	0.004309	0.011515	0.013464	0.019020	0.022398	0.029450	0.006406	0.004927	1.000000	0.017770	0.017909	0.003589	0.023366	0.028110	0.017092	0.034521	0.035047	0.000657	0.009532	0.016054	0.015034	0.014491	0.039711	0.035314	0.030156	-0.008593	0.030502	0.006027	0.030630	-0.008579	0.021225	0.040435	0.021285	0.008173	0.002821	0.021665	0.036830	0.039552	0.043602	0.016091	0.007898	0.022455	0.003085	0.006526	0.032769	0.033451	0.045118	0.023002	0.039138
tumult	-0.001774	0.030937	0.002876	0.029777	0.012240	0.033721	0.031449	0.019185	0.032458	0.017722	-0.009070	0.023617	0.005889	0.022290	0.031607	0.010328	0.022186	0.019763	0.006391	0.007970	0.002924	0.015141	0.024720	0.017770	1.000000	-0.015137	0.027778	0.006393	0.026083	0.014013	0.009951	-0.010568	0.019997	0.000398	0.032204	0.036863	0.014887	0.002880	0.032167	-0.028359	0.038073	0.020746	0.011485	0.031368	0.034050	0.031600	0.030945	0.014881	0.015459	0.030550	0.000942	0.004616	0.039137	0.028608	0.025397	0.029251	0.024985	-0.004118	0.024449	-0.010938	0.025890	0.018391	0.016074	0.023046
interpol	0.019183	-0.011205	0.022195	0.027243	0.003958	-0.000438	0.017640	0.025243	0.035632	0.014123	0.034004	0.024981	0.012896	0.008293	0.022002	-0.014225	0.006283	0.000966	0.011331	0.023605	0.011384	-0.010443	0.018412	0.017909	-0.015137	1.000000	0.018463	0.012071	0.020331	0.018625	0.007086	0.038678	0.020402	0.031469	0.024817	0.028870	0.016358	0.026028	0.021808	0.032644	0.013796	0.004614	-0.001195	0.001474	0.024821	0.023768	0.030645	-0.001290	0.014633	0.017780	-0.009788	-0.002099	0.030197	-0.010011	0.042607	0.004875	0.005485	0.039547	0.007394	0.038105	0.039209	0.012123	0.032763	0.022555
vitae	0.029820	0.004306	0.028831	0.014209	0.010188	0.018360	0.030836	0.009600	0.035567	-0.002999	0.023742	0.018910	0.008996	0.008726	-0.005549	0.026266	0.020347	0.002268	0.035968	0.015261	0.010845	0.013529	0.025969	0.003589	0.027778	0.018463	1.000000	0.035139	0.007221	0.020672	0.008674	-0.001553	0.025646	0.027775	0.027578	0.031318	0.026023	0.006495	0.016746	0.018728	0.003453	0.024536	0.014137	0.038037	0.042211	0.025858	0.019266	0.031851	0.008968	0.009948	-0.009870	0.031052	0.024521	0.030483	0.010648	0.039669	0.011221	-0.019350	-0.000415	0.026097	0.016983	0.031759	-0.002103	-0.013084
vrouw	0.023021	0.011783	0.015550	0.021463	0.006778	0.006090	0.014776	0.011004	0.033168	0.015829	-0.019140	0.010613	-0.002204	0.036639	0.026591	0.020847	0.005327	0.030219	0.031050	0.025571	0.006271	-0.000009	0.033578	0.023366	0.006393	0.012071	0.035139	1.000000	0.027527	0.027274	0.037271	0.010291	-0.005878	0.025632	0.039075	0.019001	0.037067	0.002872	0.035473	0.004708	0.016175	0.037301	0.029037	0.013876	0.021171	0.010541	0.018809	-0.004183	0.023362	0.011737	0.034149	0.014300	0.037506	0.040398	-0.005621	0.007259	0.006783	0.012786	0.007573	0.024793	0.027592	0.034665	0.025488	0.015309
wealthiest	0.012404	-0.005021	0.036899	0.024663	0.022757	-0.004191	-0.044291	0.028898	0.024598	-0.010446	0.023135	0.000574	-0.021930	0.031001	-0.014187	0.015509	0.023313	0.000461	0.012691	0.016135	0.036168	0.020621	0.014429	0.028110	0.026083	0.020331	0.007221	0.027527	1.000000	0.035902	0.037339	0.010839	0.032502	-0.006139	0.007538	0.038955	0.014949	0.002737	0.012803	0.010086	0.031354	0.025332	0.038827	-0.003003	0.016151	0.035618	0.012784	0.013335	0.023693	0.018791	0.032708	0.034829	0.039631	0.025599	-0.005386	0.018833	0.019802	0.021537	0.031122	0.001752	0.017296	0.027531	0.004701	0.010550
undergrad	0.029844	0.037500	0.026242	0.035529	0.017794	-0.015099	0.008073	0.008671	0.021107	0.018169	-0.014004	0.032816	0.028609	0.011715	0.026961	0.010545	0.008094	0.008889	0.015578	0.019159	0.011296	0.023221	0.020029	0.017092	0.014013	0.018625	0.020672	0.027274	0.035902	1.000000	-0.001824	0.033039	0.022292	0.011124	0.007001	0.021013	0.023235	0.017991	0.027916	0.001335	0.041556	0.016130	-0.012391	0.005856	0.017172	0.032700	0.021039	0.014177	-0.000626	0.025879	0.018565	0.032063	0.019531	0.009450	0.027259	0.017809	0.021117	-0.006446	0.013324	-0.005729	0.044637	0.020744	0.009955	0.021711
peanuts	0.033784	0.032809	0.037568	0.013659	0.018162	0.026685	0.002817	0.015156	-0.020433	0.010782	0.029226	0.005590	0.036088	0.009730	0.010044	0.024631	0.030759	-0.009164	0.004996	-0.003279	0.035019	0.004333	0.034101	0.034521	0.009951	0.007086	0.008674	0.037271	0.037339	-0.001824	1.000000	-0.014019	0.008599	0.037630	0.016159	-0.000001	0.012083	0.039394	0.019880	0.004491	0.027227	0.013499	0.008845	0.024154	0.006608	0.025837	-0.003912	0.036599	0.024174	0.004910	0.027865	0.037535	0.039927	0.015987	0.025040	0.018966	0.044989	0.037014	0.017904	0.006809	0.031451	0.030002	0.046007	0.033300
resizing	0.036633	0.019238	0.006554	0.037417	-0.039658	0.017118	0.009066	0.032566	0.033834	0.031055	0.016344	0.028671	0.011242	-0.001018	0.005589	0.027610	0.027753	0.000962	0.024789	0.035638	0.031982	0.028618	0.024587	0.035047	-0.010568	0.038678	-0.001553	0.010291	0.010839	0.033039	-0.014019	1.000000	-0.013240	0.005061	0.014001	0.016688	0.029052	-0.013711	0.023781	0.017289	-0.017204	0.013305	0.024337	0.021422	0.023167	-0.009083	0.033508	-0.003873	-0.020776	-0.005117	-0.005527	0.004399	0.031425	-0.015232	-0.020481	0.040879	0.014240	0.032173	-0.024437	0.036214	0.038470	0.029537	0.007359	0.023979
unconditional	0.015594	0.034722	0.038679	0.026401	0.037736	0.001715	-0.003508	0.023510	-0.011751	0.007370	0.003763	0.027979	0.006352	0.027567	0.024684	0.013427	-0.006925	-0.010568	0.031841	0.007463	-0.004249	0.022439	0.008817	0.000657	0.019997	0.020402	0.025646	-0.005878	0.032502	0.022292	0.008599	-0.013240	1.000000	-0.009785	0.032569	0.036540	0.028515	0.009120	0.023691	0.041539	0.019356	0.017249	0.007462	0.004263	-0.008023	0.027843	0.042011	0.025089	0.015797	-0.001406	0.001175	0.013629	0.034570	-0.005839	0.015515	0.031880	0.029101	-0.003255	-0.011707	-0.036280	0.001573	0.020836	0.022900	0.011751
culprit	-0.003378	0.023428	0.015397	0.035223	0.028450	-0.012003	0.016650	0.038955	0.010114	0.016179	0.026190	0.024591	0.031851	0.020550	0.007835	0.035321	-0.004593	0.025370	0.000284	0.033035	0.028719	0.018017	0.034050	0.009532	0.000398	0.031469	0.027775	0.025632	-0.006139	0.011124	0.037630	0.005061	-0.009785	1.000000	-0.011896	0.015863	0.011013	0.036608	0.018645	-0.005867	0.008968	0.016200	0.018679	0.018141	0.020164	0.029570	0.013695	0.002421	-0.000748	0.009899	0.014310	0.035514	0.006439	-0.007019	0.009607	0.025482	-0.000158	0.006862	0.005931	-0.002310	0.020947	0.037123	0.027469	0.027767
albums	0.030612	0.031013	0.026208	0.036459	0.018488	0.021309	0.013994	-0.012183	0.029014	0.013398	0.035581	0.020337	0.014099	-0.000616	0.037403	0.038110	0.004755	0.030769	0.027920	0.028398	0.037273	0.005418	0.022621	0.016054	0.032204	0.024817	0.027578	0.039075	0.007538	0.007001	0.016159	0.014001	0.032569	-0.011896	1.000000	0.027320	0.038640	0.021880	0.020760	-0.012979	0.020070	0.002700	0.024870	0.022734	-0.012295	0.041189	0.033566	0.008506	0.021686	0.017629	0.018208	0.003238	-0.000195	0.034423	0.007613	0.015067	0.000125	0.015188	0.039783	0.015097	0.024108	-0.008102	0.025575	0.046455
righteous	0.034758	0.012337	0.032385	0.035142	0.037756	0.005728	-0.004924	0.030273	0.027360	0.023214	0.039157	0.009376	0.010698	0.031364	0.031649	0.030353	0.009513	0.008127	0.011342	0.016881	-0.004620	0.001000	0.015176	0.015034	0.036863	0.028870	0.031318	0.019001	0.038955	0.021013	-0.000001	0.016688	0.036540	0.015863	0.027320	1.000000	-0.010969	0.006800	0.024767	0.013025	0.024100	0.013925	0.027034	0.028412	0.014759	0.010192	0.032375	0.008769	0.016603	0.009116	0.040413	0.031162	0.019937	-0.012036	0.014251	0.030139	0.020261	0.021151	0.003263	0.026537	0.029500	0.010298	0.023944	-0.002668
autos	0.029685	0.014206	0.039967	-0.003470	0.007372	0.039580	0.004788	0.002150	0.031417	0.027374	0.015386	0.014649	0.033756	-0.013816	0.017930	0.028274	-0.019931	0.002925	0.034711	0.034903	0.003842	0.014408	0.035217	0.014491	0.014887	0.016358	0.026023	0.037067	0.014949	0.023235	0.012083	0.029052	0.028515	0.011013	0.038640	-0.010969	1.000000	0.003144	0.026042	0.016108	0.020156	0.030176	0.026538	0.021807	0.002029	-0.006801	-0.000436	0.022132	0.037272	0.043486	-0.000506	0.008826	0.035885	0.000344	0.015633	0.028040	0.011558	0.010627	0.031189	0.031180	0.000282	0.009921	0.025374	0.017301
carr	-0.008334	0.024431	0.013190	-0.025374	0.012299	0.039180	-0.003305	0.015233	0.008538	0.021240	0.021594	0.028576	0.039281	0.009000	0.040011	0.016807	0.017208	0.025577	0.029944	0.018755	0.023972	-0.012103	0.011627	0.039711	0.002880	0.026028	0.006495	0.002872	0.002737	0.017991	0.039394	-0.013711	0.009120	0.036608	0.021880	0.006800	0.003144	1.000000	0.032224	0.012333	0.022885	0.016888	0.021187	0.031922	0.039112	0.030643	0.016054	0.026525	0.036312	0.035587	-0.019303	0.043961	0.034410	-0.011755	0.007302	0.028078	0.044276	0.001519	0.025097	0.045648	0.038600	0.002855	0.014015	0.011359
pict	0.036197	0.013143	0.025864	-0.005173	0.031404	0.031999	0.038537	0.039497	0.041037	0.012659	0.034086	-0.014712	0.024671	0.020873	-0.004956	0.022809	0.014364	0.015596	0.037958	-0.013409	0.010107	0.030753	0.005284	0.035314	0.032167	0.021808	0.016746	0.035473	0.012803	0.027916	0.019880	0.023781	0.023691	0.018645	0.020760	0.024767	0.026042	0.032224	1.000000	0.020076	0.011857	0.014613	0.001554	0.020069	0.019231	-0.004135	0.015091	0.008068	0.027198	0.011831	-0.009098	0.026957	0.037893	0.002198	0.023940	-0.006949	0.020476	0.003885	0.015110	0.003386	0.005154	0.034713	0.010729	0.016003
reachable	0.037259	0.008352	0.022981	0.011795	0.023089	0.025528	-0.003117	0.033962	0.032175	0.004114	0.039546	-0.024930	0.020707	-0.003515	0.013328	0.009910	0.024453	0.016109	0.014707	0.017004	0.038496	0.028588	0.016444	0.030156	-0.028359	0.032644	0.018728	0.004708	0.010086	0.001335	0.004491	0.017289	0.041539	-0.005867	-0.012979	0.013025	0.016108	0.012333	0.020076	1.000000	0.001321	0.020605	0.006789	0.006520	-0.008077	0.024522	0.034096	0.015986	-0.006957	0.034302	0.012264	0.025676	0.004191	0.001805	0.003295	0.020061	0.038166	0.015081	0.020351	0.008482	0.018642	0.006702	0.031169	0.011982
